volumen,disrupcion,algoritmo,replica,semilla,pedidos_totales,pedidos_atendidos,pedidos_a_tiempo,pct_cumplimiento_global,costo_operativo_total,saturacion_almacenes_pct,tiempo_ejecucion_ms
alto,bajo,alns,13,13,609,96,96,15.76,19410.00,0.00,5914
alto,bajo,aco,14,14,609,572,572,93.92,144816.00,0.00,9296
alto,bajo,alns,14,14,609,95,95,15.60,18682.00,0.00,5830
alto,bajo,aco,15,15,609,577,577,94.75,147538.00,0.00,9184
alto,bajo,alns,15,15,609,97,97,15.93,20572.00,0.00,6446
alto,bajo,aco,16,16,609,572,572,93.92,146164.00,0.00,9564
alto,bajo,alns,16,16,609,94,94,15.44,17162.00,0.00,5264
alto,bajo,aco,17,17,609,574,574,94.25,145922.00,0.00,9176
alto,bajo,alns,17,17,609,95,95,15.60,18578.00,0.00,5634
alto,bajo,aco,18,18,609,573,573,94.09,146432.00,0.00,9130
alto,bajo,alns,18,18,609,95,95,15.60,18392.00,0.00,5290
alto,bajo,aco,19,19,609,574,574,94.25,145720.00,0.00,8690
alto,bajo,alns,19,19,609,95,95,15.60,18534.00,0.00,5458
alto,bajo,aco,20,20,609,574,574,94.25,144808.00,0.00,9239
alto,bajo,alns,20,20,609,94,94,15.44,17542.00,0.00,5785
alto,bajo,aco,21,21,609,575,575,94.42,145442.00,0.00,9631
alto,bajo,alns,21,21,609,95,95,15.60,18616.00,0.00,6064
alto,bajo,aco,22,22,609,575,575,94.42,143834.00,0.00,8960
alto,bajo,alns,22,22,609,96,96,15.76,20438.00,0.00,6654
alto,bajo,aco,23,23,609,572,572,93.92,148784.00,0.00,9302
alto,bajo,alns,23,23,609,96,96,15.76,19782.00,0.00,5817
alto,bajo,aco,24,24,609,573,573,94.09,148152.00,0.00,8820
alto,bajo,alns,24,24,609,95,95,15.60,19022.00,0.00,5682
alto,bajo,aco,25,25,609,574,574,94.25,146266.00,0.00,8910
alto,bajo,alns,25,25,609,95,95,15.60,17798.00,0.00,6599
alto,bajo,aco,26,26,609,574,574,94.25,145328.00,0.00,9338
alto,bajo,alns,26,26,609,95,95,15.60,17960.00,0.00,5693
alto,bajo,aco,27,27,609,576,576,94.58,145832.00,0.00,9290
alto,bajo,alns,27,27,609,97,97,15.93,20750.00,0.00,5475
alto,bajo,aco,28,28,609,574,574,94.25,147698.00,0.00,9078
alto,bajo,alns,28,28,609,94,94,15.44,18402.00,0.00,5761
alto,bajo,aco,29,29,609,574,574,94.25,145816.00,0.00,8633
alto,bajo,alns,29,29,609,96,96,15.76,19194.00,0.00,6249
alto,bajo,aco,30,30,609,571,571,93.76,145612.00,0.00,9181
alto,bajo,alns,30,30,609,93,93,15.27,17408.00,0.00,5892
